analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
50769.47116,20427.18999,216057600.0,8.86,1742400.0,5304034,147.54,1250.0,5300584
34762.33466,20427.18999,2332881936.0,52.88,18813564.0,5003623,147.54,1250.0,5300584
38753.35914,20427.18999,1485.52,42.26,11.98,3700613,147.54,1250.0,5300584
34762.3464,20427.18999,553647600.0,4.03,4464900.0,5000770,147.54,1250.0,5300584
38753.37912,20427.18999,2264.2400000000002,38.99,18.26,3700708,147.54,1250.0,5300584
34762.34553,20427.18999,10116897120.0,13.11,81587880.0,5003629,147.54,1250.0,5300584
58215.0,20427.18999,28087488.0,2.87,226512.0,5003690,147.54,1250.0,5300584
45776.0,20427.18999,12400.0,0.0,100.0,3802114,147.54,1250.0,5300584
58311.0,20427.18999,3548746.0799999996,193.46,28618.92,5303522,147.54,1250.0,5300584
46097.0,20427.18999,8426246400.0,3.72,67953600.0,5102044,147.54,1250.0,5300584
50769.30316,20427.18999,54014400.0,2.02,435600.0,3603661,147.54,1250.0,5300584
45863.0,20427.18999,14853960.0,2.23,119790.0,5304017,147.54,1250.0,5300584
38753.36675,20427.18999,1488.0,1.4,12.0,3700835,147.54,1250.0,5300584
52230.4361,20427.18999,319333132.8,27.42,2575267.2,3703778,147.54,1250.0,5300584
43052.0,20427.18999,4051080.0,3.25,32670.0,3703580,147.54,1250.0,5300584
56613.54786,20427.18999,8426246.4,1.74,67953.6,5204031,147.54,1250.0,5300584
52482.0,20427.18999,324086.39999999997,27.32,2613.6,5303614,147.54,1250.0,5300584
52595.42885,20427.18999,27007200.0,7.76,217800.0,5203983,147.54,1250.0,5300584
44925.39993,20427.18999,4051080.0,216.2,32670.0,5203967,147.54,1250.0,5300584
50403.35303,20427.18999,2426650934.4,5.26,19569765.6,3703524,147.54,1250.0,5300584
47116.32797,20427.18999,239607878.4,7.56,1932321.6,3703608,147.54,1250.0,5300584
36040.0,20427.18999,5798985984.0,21.16,46766016.0,5003625,147.54,1250.0,5300584
55882.54191,20427.18999,36783806.4,3.93,296643.6,5303603,147.54,1250.0,5300584
32733.0,20427.18999,3301036041.6,6.36,26621258.4,5000574,147.54,1250.0,5300584
32871.0,20427.18999,2700720.0,3.0,21780.0,3703858,147.54,1250.0,5300584
52595.36705,20427.18999,10802880.0,15.42,87120.0,3703906,147.54,1250.0,5300584
32977.0,20427.18999,4175313120.0,1.16,33671880.0,5003642,147.54,1250.0,5300584
